"","country","indicator","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9"
"1","SVN","GDP",110.769125087099,-353.493353752798,717.337273680097,276.721205559103,-1214.2613504949,251.562901085401,1334.8043152886,3066.3668964092,2380.433397746
"2","SVK","GDP",378.59781307402,-39.6001850907096,395.44016571703,102.990687351439,-233.64977861463,305.152905739491,816.779218803289,2172.05136375807,1957.88046537965
"3","POL","GDP",454.68251473759,9.51080898247028,406.88404947304,-131.862282880519,141.352998764809,488.47101524232,215.73430223724,496.444842187031,946.585288350409
"4","MLT","GDP",134.808072570919,-169.164602784509,408.134389016941,210.143488196998,75.614033060001,-409.246911655659,881.959872549158,1994.8377085756,1219.6416092958
"5","LTU","GDP",159.35770881925,502.58372554954,336.15811476029,-53.3492201849804,183.80827288488,232.79263647784,616.8405905204,1358.54774099179,1201.43132960818
"6","LVA","GDP",100.29855923321,252.88871654548,294.93221832996,174.00086506883,201.418430934139,220.07794733826,557.09113116455,1000.33368403362,1216.00884402268
"7","HUN","GDP",35.4133829440398,71.8506882259198,155.26523942681,54.2409453957998,-170.00432106804,647.3214276831,1379.38819444642,1744.90369665842,1863.09907592667
"8","EST","GDP",308.351140891011,267.216454046489,432.34596813631,95.7677864631105,-78.02855473814,428.926800539009,809.388257042991,1865.89383107402,1676.22705769579
"9","CZE","GDP",708.38701265283,-493.17714770365,467.205234771011,-154.159151958232,-298.776110254499,600.18918822833,1417.1806086864,1729.16030998805,1926.57373635229
"10","CYP","GDP",-128.131614805301,-935.489867451199,866.185050214101,172.8672091888,-901.4189219326,415.856931842,1265.0645716524,4121.8451340566,3468.3091801604
"11","SVN","CPI",4.38633029852839,4.1123239513031,4.2172117213892,3.5365262617275,5.4201659396859,5.59811346686629,5.3832743791729,4.3206527636119,2.93468747061338
"12","SVK","CPI",2.5552621177273,2.8434573865538,3.3079265214092,5.5698534464368,7.0123510847682,4.7844097061933,2.3282887077998,6.1921392538387,5.93159266034699
"13","POL","CPI",8.2539111975878,7.5263460266731,6.73380873434581,4.66794995187679,6.924393113036,4.1599828895305,1.51855416533,0.641642605068895,2.93551491819061
"14","MLT","CPI",1.4374719274123,2.2226927173618,1.7565990933811,1.60963263536911,1.82483352031518,2.30947291161651,1.7758447009779,1.0811497813316,2.3443440631187
"15","LTU","CPI",12.6253941630326,5.67389019344729,3.53135413172302,0.551079056245285,0.741666666666603,1.0083333333334,0.224999999999994,-0.866666666666688,0.883333333333297
"16","LVA","CPI",7.432521283573,4.1881779185918,2.5072803156642,1.3287638287639,1.5271765271765,1.4670514670515,1.1664261664261,1.82780182780191,3.9381914381914
"17","HUN","CPI",6.7315126283031,6.494941896957,5.94772273051,4.8054923306771,5.15556811521849,5.2985359335563,3.32352393600199,3.0907542510091,4.71753957018082
"18","EST","CPI",9.68178169768489,5.46919622656681,4.6913697847207,2.03848352067081,2.5681082110877,3.81787007048959,2.50952562392871,0.973995046675384,2.2480472470947
"19","CZE","CPI",4.9391955098223,5.21983161833489,7.04396632366691,1.57156220767071,2.92329279700638,3.6623012160898,1.45463049579061,0.0893358278766954,2.34752104770818
"20","CYP","CPI",1.99646084816339,2.48826347080552,1.59290506708459,1.1914833722651,3.07678042602841,1.52955764200291,2.20997018127679,3.35698612707209,1.93098276588979
"21","SVN","Unemployment",-0.29999971389771,-0.300000190734858,0.800000190734858,-0.0999999046325684,-0.400000095367432,-1.20000028610229,0.600000381469721,0.399999618530279,-0.399999618530279
"22","SVK","Unemployment",-1.8000001907348,0.599999427795399,0.300000190734799,3.6999998092652,3.2000007629394,0.299999237060597,-0.699998855590799,-1.6000003814698,1.5
"23","POL","Unemployment",-0.900000572204601,-1.3999996185303,-1.10000038146973,2.40000057220463,3.9999990463256,2.1000003814698,1.5,-0.5,-0.299999237060597
"24","MLT","Unemployment",NA,NA,NA,NA,NA,0.79999971389771,-0.199999809265142,0.599999904632571,-0.199999809265139
"25","LTU","Unemployment",-1.8999996185303,-1.5,-0.400000572204601,-0.300000190734799,2.5,0.899999618530201,-3.7999992370605,-0.1000003814697,-2.1999998092652
"26","LVA","Unemployment",NA,-5.5000009536744,-0.199999809265099,-0.699999809265099,0.399999618530199,-0.399999618530199,0,-1.6999998092652,-0.400000572204601
"27","HUN","Unemployment",0.10000038146973,-1,-0.10000038146973,-1.99999952316284,-0.300000190734858,-0.900000095367432,-0.0999999046325684,0.20000028610229,0
"28","EST","Unemployment",0.19999980926513,0.50000000000003,-0.8999996185303,2.1000003814697,1.7999992370606,-0.2999992370606,-3.1000003814697,1.3000001907349,-1.1000003814698
"29","CZE","Unemployment",-0.0999999046325697,0.400000095367429,1.59999990463257,2.59999990463257,0.30000019073486,-0.80000019073486,-1,0.5,0.699999809265138
"30","CYP","Unemployment",NA,NA,NA,NA,5,-1,-0.70000004768372,0.799999952316289,0.20000028610229
"41","SVN","Trade",0.164336628437297,2.69829830267081,0.449044609332006,-4.1459713348673,11.0500494724811,0.859519718815008,-1.211491736784,-1.21870429353301,9.26863327269498
"42","SVK","Trade",3.98498042324302,4.31756740691299,-15.618649398237,-4.5657089124572,11.3429461507462,12.916208415504,-1.41950523373998,4.08685969948201,13.878829163438
"43","POL","Trade",1.80329044157391,4.7071588149622,6.0699114473661,-2.50823472255311,6.3323522802886,-2.7214819126396,2.850204839608,8.5128493780254,2.38202903075771
"44","MLT","Trade",-11.44869702497,-7.42048764004298,2.74603260935899,7.845678342941,17.921069582586,-25.910436141772,-0.724313337206979,-4.97725905851601,1.64709707817698
